,Logic,Question Route,Heap question name,Question_slug,,Headline/question,Instruction,Answers,Value Type/Branch,Answer_slug,tip tab title,tip tab format,prose tip /caption,footer,"Impact of the question/answers on the algos
(Formu, Reformu, Reco algos)",
All,,intro,HC/SC Consultation Intro - View,,,We're excited to get started on your consultation.,"We'll ask a brief series of questions to understand your unique hair needs and goals, lifestyle, and environment so we can formulate your custom products and provide your recommended routine. 

If you'd like to give the gift of Prose, please visit our gift page.",n/a,,n/a,,,,Consultation type,,
HC,,my-hair/length,C3 HC Length - View,length,How long is your hair?,How long is your hair?,"if you have curly hair, pull the curl all the way down to find your true length.","Short 
Buzz-cut to early-Beatles

Chin-length
Doesn’t touch shoulders 

Shoulder length
Sits on shoulders or falls slightly past

Long
Below shoulder blades to mid-back

Very long
Mid-back and beyond",Single,,More of a visual learner? Tap for pics,text + carousel of pictures,"If you are stuck between 2 lengths, choose the longer one.

+

[Hair length photo carousel]",Hair & Scalp,high,"If you are stuck between 2 lengths, choose the longer one.

+

[Hair length photo carousel]"
HC,,my-hair/texture,C2 HC Texture - View,texture,"What’s your natural, untreated, air-dried hair texture?","What’s your natural, untreated, air-dried hair texture?","If your hair is texturally treated, think back to when it wasn’t. ","Type 1 -  Straight

Type 2A - Soft Waves
Almost straight with a slight bend

Type 2B - Wavy
Loose, S-shaped waves

Type 2C - Deep Waves or Loose Curls
Defined, S-shaped pattern

Type 3A - Curly 
Like a loose ""C""

Type 3B - Very Curly
Defined & springy C’s

Type 3C - Tight Curls
Like a corkscrew

Type 4A- Coily
Tight & springy, like a slinky

Type 4B  - Zig-Zag Coils
Like a sharply defined ""Z""

Type 4C - Tight Zig-Zag
A less-defined ""Z""",Single,"type_1

type_2a

type_2b

type_2c

type_3a

type_3b

type_3c

very_curly

frizzy

zigzag",More of a visual learner? Tap for pics,text text + table of pictures (including carousel for types 3 and 4),"Sometimes it’s tough to decide, and many people have more than 1 texture on their heads. When in doubt, pick the texture that looks like the majority of your hair, the majority of the time.

+

[picture gallery grid]",Hair & Scalp,high,"Sometimes it’s tough to decide, and many people have more than 1 texture on their heads. When in doubt, pick the texture that looks like the majority of your hair, the majority of the time.

+

[picture gallery grid]"
HC,,my-hair/type,C4 HC Type - View,type,Where would you put your hair on the oily/dry spectrum?,Where would you put your hair on the oily/dry spectrum?,/,"On the oily side
Roots get greasy, while lengths are balanced

Happy medium
Roots don't get oily quickly, and lengths aren't dry either

Mixed
Roots get oily quickly while my lengths are dry or frizzy

On the dry side
Roots don't get oily quickly and my lengths are always dry of frizzy",Single,,Why we ask,text,"We know oiliness and dryness levels can vary throughout the year, so just answer with what you're feeling at this exact moment. We'll track the conditions in your area throughout the year and subtly adjust your formulas to anticipate the way your hair changes with the seasons. ",Hair & Scalp,high,"We know oiliness and dryness levels can vary throughout the year, so just answer with what you're feeling at this exact moment. We'll track the conditions in your area throughout the year and subtly adjust your formulas to anticipate the way your hair changes with the seasons. "
HC,,my-hair/split-ends,C3.1 HC Split Ends - View,split-ends,Do you get split ends? ,Do you get split ends? ,"Check your ends right now—do you see any fiber divisions, white specks, or tiny knots?","Yes, plenty

Only a few

None in sight","Single;
Branches from [c3 length]; branch values = 'chin length', 'shoulder lenght', 'long', 'very long'",,Did you know there are 6 types of splits?,text + carousel of pictures,"No haircare can make your ends grow back together, but we can prevent more happening in future. In the meantime, we recommend a trim.

[carousel of types of split ends]",Hair & Scalp,very low,"No haircare can make your ends grow back together, but we can prevent more happening in future. In the meantime, we recommend a trim.

[carousel of types of split ends]"
HC,type 3 or 4,my-hair/porosity,C2.1 HC Porosity - View,porosity,How porous is your hair?,How porous is your hair?,High-porosity hair dries quickly and is frizz-prone; products are absorbed quickly. Low porosity hair dries slowly and products stick around.,"High porosity - dries quickly

Medium or not sure

Low porosity - dries slowly","Single;
Branches from [c4 texture]; branch values = any type 3 or type 4",,At home? Tap for an experiment,text,"Damage from the environment or from treatments like bleach or straightening increases porosity, so even though your hair is thirsty, it has a hard time retaining moisturizing products. We’ll fine-tune your formulas to give your hair nutrients it can actually absorb.

To test your porosity in a weird but effective way, pull out a hair and put it in a glass of water.

If it…
-stays on the surface = low porosity 
- floats in the middle = medium porosity
- sinks at the bottom = high porosity",Hair & Scalp,very low,"Damage from the environment or from treatments like bleach or straightening increases porosity, so even though your hair is thirsty, it has a hard time retaining moisturizing products. We’ll fine-tune your formulas to give your hair nutrients it can actually absorb.

To test your porosity in a weird but effective way, pull out a hair and put it in a glass of water.

If it…
-stays on the surface = low porosity 
- floats in the middle = medium porosity
- sinks at the bottom = high porosity"
HC,,my-hair/thickness,C5 HC Thickness - View,thickness,What does a single strand of hair feel like?,What does a single strand of hair feel like?,Roll a single hair between your fingers. If you…,"Barely feel it = fine/thin hair 

Not sure or feel it slightly = medium hair

Feels like sewing thread = thick/coarse hair",Single,,Why we ask,text,"This info about individual hair thickness is crucial to supporting overall strength and addressing frizz and flyaways. 

",Hair & Scalp,high,"This info about individual hair thickness is crucial to supporting overall strength and addressing frizz and flyaways. 

"
HC,,my-hair/density,C6 HC Density - View,density,How dense is your hair?,How dense is your hair?,"Part your hair and check the mirror—the more scalp you see, the less dense your hair is.","Very dense
I see very little to no scalp

Medium or not sure
I can see a little skin

Low density
I have a wide part
",Single,,Why we ask,text + video,"Density (how many hairs you have) and thickness (how thick a single strand is) aren’t the same thing, but the two have an important correlation—we’ll use this info to help manage your volume the way you want it.


[Video to show how to evaluate the density.]",Hair & Scalp,medium,"Density (how many hairs you have) and thickness (how thick a single strand is) aren’t the same thing, but the two have an important correlation—we’ll use this info to help manage your volume the way you want it.


[Video to show how to evaluate the density.]"
HC,,my-hair/hairloss,C7 HC Hair Loss - View,hairloss,Do you feel like you’re shedding more than usual lately?,Do you feel like you’re shedding more than usual lately?,\,"No, seems normal

Sometimes it feels that way, sometimes not

Yes, I know for sure I am
",Single,,What's normal?,text ,"What normal looks like 
It’s normal to lose up to 100 strands a day, but you'll typically notice the loss only when you wash or style your hair. So if, for example, you had your hair in a braid for 3 days, then washed it or brushed it out, it might look like you lost 300 hairs at once. 


Shedding vs breakage
Shedding means hair is falling out at the root; breakage means it is breaking off somehwere down the strand. If you're 100% sure you're shedding more lately, there could be genetic, hormonal, or environmental factors at work. We’ll do all we can to balance you out, but some forces are greater than haircare.

",Hair & Scalp,high (supp),"What normal looks like 
It’s normal to lose up to 100 strands a day, but you'll typically notice the loss only when you wash or style your hair. So if, for example, you had your hair in a braid for 3 days, then washed it or brushed it out, it might look like you lost 300 hairs at once. 


Shedding vs breakage
Shedding means hair is falling out at the root; breakage means it is breaking off somehwere down the strand. If you're 100% sure you're shedding more lately, there could be genetic, hormonal, or environmental factors at work. We’ll do all we can to balance you out, but some forces are greater than haircare.

"
Supp Updates,,my-hair/genetic-hair-loss,C8 HC Genetic Hair Loss - View,genetic-hair-loss,,Is hair loss a genetic issue in your family?,,"Yes 

No

I'm not sure",Single,,Why we ask,text ,"We see hair loss as a multi-factorial issue, and will customize your supplements to address as many of the aggravating factors in your case as possible. We can't reverse genetic-based hair loss in one fell swoop, but we can give you the best possible foundation for healthy hair.",Hair & Scalp,very low,
